id,ticker,name,type,segment,management
92,BCIA11,Bradesco Carteira Imobiliária Ativa,Fundo de Fundos,Títulos e Valores,Ativa
93,RZAT11,Riza Arctium Real Estate,Híbrido,Indústria e Logística,Ativa
94,PORD11,Polo Recebíveis Imobiliários II,Papel,Títulos e Valores,Ativa
95,OUJP11,OURINVEST JPP,Papel,Títulos e Valores,Ativa
98,BPFF11,Brasil Plural Absoluto Fundo de Fundos,Fundo de Fundos,Títulos e Valores,Ativa
99,PATL11,PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo,Desenvolvimento,Ativa
100,QAGR11,QUASAR AGRO – FDO INV. IMOB.,Outros,Indefinido,Ativa
101,XPSF11,XP SELECTION FDO DE FUNDOS INV IMOB – FII,Fundo de Fundos,Títulos e Valores,Ativa
102,NSLU11,Hospital Nossa Sra Lourdes,Tijolo,Hospitalar,Passiva
103,HTMX11,Hotel Maxinvest,Tijolo,Hotéis,Ativa
104,INLG11,INTER LOG FDO INV IMOB,Tijolo,Logística,Ativa
105,AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS,Tijolo,Lajes Corporativas,Ativa
106,WHGR11,WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Híbrido,Indefinido,Ativa
107,RECT11,FDO INV IMOB – FII UBS (BR) OFFICE,Tijolo,Lajes Corporativas,Ativa
108,VTLT11,Votorantim Logística,Tijolo,Logística,Ativa
109,AJFI11,AJ MALLS FDO DE INV IMOB,Tijolo,Shoppings,Ativa
110,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,Tijolo,Lajes Corporativas,Ativa
111,HGFF11,CSHG IMOB. FOF – FDO INV. IMOB. – FII,Fundo de Fundos,Títulos e Valores,Ativa
112,HSAF11,HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI,Papel,Títulos e Valores,Ativa
113,SPXS11,SPX SYN MULT,Híbrido,Títulos e Valores,Ativa
114,RBFF11,RIO BRAVO IFIX FDO INV IMOB,Fundo de Fundos,Títulos e Valores,Ativa
117,RBHG11,RIO BRAVO CREDITO IMOB HIGH GRADE,Papel,Títulos e Valores,Ativa
118,RBRX11,RBR PLUS MULTIESTRATÉGIA REAL ESTATE FII,Híbrido,Títulos e Valores,Ativa
120,CPFF11,CAPITÂNIA REIT FOF – FDO. INVEST. IMOB,Fundo de Fundos,Títulos e Valores,Ativa
