USIM5;USIMINAS;;;;
VALE3;VALE;;;;
VAMO3;VAMOS;;;;
VBBR3;VIBRA;;;;
VIVA3;VIVARA S.A.;;;;
VIVT3;TELEF BRASIL;;;;
VLID3;VALID;;;;
VULC3;VULCABRAS;;;;
VVEO3;VIVEO;;;;
WEGE3;WEG;;;;
WIZC3;WIZ CO;;;;
YDUQ3;YDUQS PART;;;;
ZAMP3;ZAMP S.A.;;;;
